idx_pdf,n1,n2,n3,n4,n5,pb
161,6,29,38,43,67,16
162,4,21,43,48,49,22
163,8,23,42,56,68,10
164,8,12,45,46,63,24
165,9,14,38,39,41,25
166,8,16,24,33,54,18
167,5,8,35,62,63,8
168,5,9,25,28,69,5
169,24,40,51,52,61,17
170,33,35,58,61,69,25
171,14,17,49,52,68,7
172,1,28,34,50,58,8
173,15,20,61,63,69,1
174,7,19,21,54,63,21
175,10,18,21,37,40,10
176,13,28,44,52,55,6
177,4,9,41,42,61,26
178,4,35,43,52,62,12
179,8,15,22,34,62,22
180,2,12,37,51,61,22
181,1,11,49,57,61,25
182,5,25,42,44,65,20
183,4,7,12,20,55,12
184,3,16,32,52,62,24
185,1,26,29,44,52,26
186,23,29,50,64,67,11
187,13,15,17,36,66,10
188,17,21,23,27,52,19
189,32,42,52,55,56,18
190,4,6,9,23,59,25
191,19,20,39,47,55,15
192,13,25,29,37,53,3
193,4,29,37,48,56,6
194,30,33,40,43,52,25
195,1,7,24,50,59,11
196,31,36,43,48,62,25
197,6,7,16,22,28,17
198,5,17,23,35,45,24
199,13,33,35,36,56,2
200,1,7,44,57,61,21
201,4,25,43,44,63,4
202,1,29,37,56,68,13
203,34,44,61,64,68,19
204,23,27,32,35,59,11
205,14,30,41,48,69,12
206,13,47,52,64,67,25
207,7,13,27,29,67,8
208,12,18,28,48,52,5
209,25,29,50,64,65,3
210,9,29,31,34,43,2
211,4,9,21,37,56,2
212,13,14,37,50,60,11
213,11,12,27,30,35,7
214,7,34,40,42,52,15
215,14,18,31,34,37,17
216,4,10,24,29,53,4
217,2,44,55,56,67,5
218,15,16,41,48,60,21
219,23,45,53,54,57,18
220,5,20,28,39,42,13
221,24,36,43,47,69,22
222,14,15,30,40,59,20
223,9,31,32,50,57,14
224,16,34,40,45,66,19
225,21,26,28,62,63,1
226,10,21,23,35,65,24
227,14,23,33,38,60,3
228,1,2,3,57,59,9
229,1,34,38,60,65,9
230,26,43,51,56,60,24
231,11,13,39,48,61,3
232,1,12,14,18,69,2
233,12,20,26,38,40,5
234,15,44,63,66,69,20
235,37,42,49,54,66,26
236,4,33,45,46,51,25
237,18,23,34,35,67,13
238,7,25,37,39,63,1
239,2,3,21,55,63,12
240,20,24,42,43,49,19
241,7,36,40,47,59,9
242,3,20,30,52,62,1
243,9,18,41,42,63,4
244,16,22,44,45,53,19
245,5,10,46,49,60,16
246,4,29,37,55,67,10
247,2,15,44,60,68,23
248,20,23,48,59,66,4
249,2,31,36,51,58,15
250,4,23,30,46,62,2
251,10,16,20,48,51,5
252,5,17,41,64,69,1
253,7,18,23,31,44,24
254,12,41,44,52,64,25
255,2,44,52,65,66,12
256,7,11,21,53,61,2
257,7,11,14,26,59,10
258,5,20,29,39,53,6
259,26,32,41,51,66,22
260,6,23,35,36,47,12
261,2,54,59,65,68,3
262,6,7,25,46,57,12
263,2,4,47,53,64,11
264,8,11,21,49,59,15
265,7,15,36,40,56,8
266,11,18,23,38,60,9
267,4,19,21,38,64,26
268,12,28,33,36,54,5
269,35,36,47,50,58,11
270,11,13,28,51,58,1
271,30,31,45,56,69,25
272,17,40,47,50,55,6
273,41,42,46,48,59,3
274,2,4,16,23,63,13
275,21,24,37,62,68,11
276,24,28,40,63,65,20
277,22,36,39,45,50,14
278,18,20,50,52,56,20
279,9,34,54,67,69,11
280,2,23,36,44,49,25
281,6,19,37,66,68,6
282,28,48,55,60,62,20
283,21,26,45,46,64,11
284,10,11,34,59,68,14
285,22,48,61,63,66,17
286,7,18,22,50,65,15
287,9,18,26,35,57,14
288,6,21,28,49,60,20
289,15,21,34,43,60,23
290,4,44,47,52,57,9
291,17,18,49,56,59,8
292,3,16,45,54,56,12
293,12,18,43,58,61,19
294,21,32,36,45,49,18
295,11,24,26,31,39,15
296,2,17,18,29,43,3
297,2,21,34,38,44,19
298,23,44,57,60,62,9
299,5,20,23,36,53,17
300,19,27,30,50,62,14
301,13,24,40,41,50,4
302,12,37,47,54,60,17
303,7,38,39,42,55,10
304,23,29,32,49,61,8
305,3,15,37,49,69,16
306,8,12,31,33,38,18
307,18,28,41,63,68,4
308,2,40,47,53,55,20
309,1,9,34,63,67,6
310,8,15,17,53,66,14
311,2,5,52,59,60,16
312,5,6,27,40,49,5
313,1,12,39,40,52,15
314,15,16,32,47,54,6
315,10,23,33,38,54,17
316,14,31,35,64,69,23
317,7,34,40,48,57,17
318,8,41,52,53,58,7
319,11,15,25,51,54,15
320,4,6,16,39,66,9
321,29,30,32,37,56,18
322,3,6,32,37,65,4
323,22,24,25,44,53,20
324,1,20,36,38,43,24
325,22,29,36,61,65,17
326,17,34,46,66,67,14
327,41,44,54,57,64,13
328,26,32,43,54,56,24
329,12,25,63,65,66,14
330,6,12,28,35,66,26
331,8,10,25,33,66,20
332,9,19,33,38,39,1
333,15,34,52,56,57,14
334,6,31,51,54,55,12
335,22,40,42,54,68,7
336,15,26,27,30,35,3
337,8,29,30,47,57,1
338,22,42,44,57,64,18
339,16,49,62,63,68,10
340,1,12,17,21,58,1
341,29,45,46,51,59,3
342,6,15,18,33,49,7
343,41,45,52,56,67,6
344,9,30,33,57,61,17
345,2,7,15,21,56,12
346,12,17,23,52,67,1
347,12,16,36,55,64,3
348,13,44,50,52,54,20
349,18,23,34,60,62,19
350,35,37,40,45,51,24
351,7,17,28,44,54,8
352,1,31,43,55,57,22
353,8,10,39,57,61,12
354,1,23,25,28,61,13
355,14,35,43,48,54,1
356,3,9,26,61,67,13
357,14,27,34,39,40,4
358,4,24,29,39,63,25
359,9,21,37,43,61,23
360,1,6,7,13,40,5
361,19,37,41,42,62,13
362,5,35,45,60,63,12
363,2,13,25,27,39,10
364,12,13,34,44,67,8
365,36,40,41,50,60,13
366,16,30,60,62,64,25
367,3,10,37,40,68,1
368,27,31,41,52,69,26
369,2,6,24,36,43,13
370,21,22,25,32,38,16
371,16,23,31,59,63,10
372,9,20,26,43,58,9
373,14,41,45,55,59,13
374,3,21,24,34,46,9
375,16,23,38,40,57,10
376,11,24,50,56,66,16
377,9,28,40,55,57,22
378,12,17,37,58,62,4
379,12,16,17,39,45,10
380,6,18,33,48,53,21
381,8,14,16,34,51,14
382,10,45,48,58,61,2
383,4,20,37,48,58,24
384,13,22,29,43,58,22
385,18,36,39,49,62,12
386,21,27,32,48,67,17
387,6,16,19,24,40,5
388,8,12,40,45,51,15
389,1,7,25,27,57,18
390,2,15,27,29,39,20
391,1,42,43,58,66,20
392,1,25,57,62,64,15
393,2,3,7,26,34,1
394,7,16,19,45,64,25
395,19,39,53,57,68,16
396,4,30,39,44,60,11
397,29,35,41,53,68,9
398,14,18,33,64,67,14
399,7,29,31,41,54,8
400,5,14,20,41,57,6
401,18,22,32,41,49,24
402,25,32,43,53,66,10
403,4,14,29,33,59,17
404,18,30,31,52,63,22
405,24,27,47,49,55,11
406,2,12,46,52,65,3
407,15,16,27,30,57,24
408,1,2,21,37,43,21
409,39,44,45,46,66,13
410,9,11,30,43,69,20
411,17,32,39,43,53,2
412,3,11,13,24,39,22
413,6,7,17,20,57,10
414,2,26,45,46,52,21
415,6,32,51,62,69,26
416,15,21,25,37,45,19
417,23,39,57,61,67,10
418,17,19,21,37,45,14
419,4,17,37,46,49,19
420,1,11,22,47,68,7
421,16,23,50,53,66,14
422,8,9,11,27,31,17
423,13,25,38,40,63,23
424,29,34,38,48,56,16
425,1,26,38,52,55,16
426,10,12,55,65,67,3
427,6,9,15,17,20,3
428,1,16,21,47,60,5
429,10,14,38,42,45,26
430,14,34,37,55,63,20
431,14,16,20,30,47,22
432,7,10,21,33,59,20
433,4,21,34,35,41,9
434,8,42,46,48,53,22
435,4,12,13,16,67,7
436,4,34,35,38,69,19
437,19,32,43,55,58,12
438,5,33,47,50,64,20
439,9,11,31,52,54,25
440,2,4,23,68,69,15
441,19,50,55,58,66,15
442,5,15,21,24,43,17
443,1,26,32,64,65,16
444,27,31,33,38,67,3
445,2,3,28,52,69,3
446,1,2,15,23,28,10
447,22,48,50,57,69,1
448,12,31,43,45,46,22
449,9,12,25,51,56,22
450,8,9,23,29,62,13
451,16,27,34,62,66,22
452,9,22,57,67,68,14
453,5,35,49,60,62,17
454,9,24,33,64,69,9
455,6,14,53,59,62,12
456,6,19,35,47,57,9
457,16,29,31,60,65,26
458,29,42,44,51,54,12
459,2,18,31,45,60,8
460,13,33,40,60,61,20
461,13,18,29,43,56,8
462,23,34,37,50,58,7
463,10,24,41,48,61,9
464,11,27,30,33,44,16
465,20,21,36,54,63,21
466,3,31,37,40,64,17
467,19,45,57,64,69,7
468,16,42,59,63,68,13
469,4,9,20,47,51,9
470,31,36,56,58,69,20
471,17,34,44,49,66,9
472,18,25,31,40,57,4
473,10,14,31,34,67,20
474,24,27,32,47,66,26
475,3,24,49,56,60,17
476,9,31,39,40,45,23
477,3,13,41,55,61,6
478,9,55,59,66,69,21
479,40,57,59,64,65,15
480,7,11,12,27,46,26
481,16,17,33,56,66,18
482,20,22,31,33,45,1
483,10,17,19,25,59,8
484,5,32,35,39,49,21
485,22,27,52,62,69,4
486,2,26,33,55,57,22
487,19,22,38,55,61,23
488,5,9,32,39,55,9
489,12,18,32,59,61,8
490,26,51,54,61,69,25
491,6,28,49,53,69,8
492,4,9,36,47,56,7
493,4,19,27,37,56,21
494,5,6,36,53,69,8
495,1,31,33,54,60,26
496,4,5,15,32,62,21
497,6,23,48,49,54,14
498,4,27,44,50,64,7
499,16,23,35,50,59,21
500,30,48,53,58,66,9
501,30,41,42,67,68,16
502,4,36,48,54,56,2
503,30,38,44,54,55,22
504,19,30,31,61,62,21
505,12,13,59,68,69,13
506,3,10,33,58,59,9
507,9,15,27,32,65,10
508,8,38,52,54,64,15
509,11,21,57,58,68,5
510,8,44,45,51,69,12
511,4,11,20,45,49,21
512,19,29,35,36,45,16
513,25,39,46,47,51,10
514,28,38,52,54,68,8
515,24,40,53,56,59,5
516,17,34,56,60,61,9
517,23,29,35,36,39,22
518,9,30,39,49,59,21
519,20,31,39,45,56,19
520,6,33,35,36,64,24
521,23,25,39,40,47,10
522,5,16,18,26,67,4
523,10,12,19,21,67,25
524,1,7,48,64,68,5
525,5,38,39,41,69,25
526,19,36,37,42,59,19
527,15,17,28,36,60,9
528,19,42,45,55,69,6
529,8,9,29,57,65,10
530,5,14,29,38,66,1
531,6,14,21,58,69,16
532,3,6,39,49,67,21
533,21,24,32,39,55,16
534,7,41,43,44,51,5
535,10,22,43,55,57,2
536,7,23,24,56,60,25
537,10,56,58,59,67,20
538,14,20,23,53,69,4
539,1,8,27,63,66,26
540,1,11,19,21,68,15
541,6,15,19,42,45,16
542,11,38,47,67,69,14
543,11,44,50,54,59,13
544,9,30,53,55,62,23
545,12,28,36,47,65,22
546,2,20,22,26,47,21
547,23,25,45,46,62,25
548,12,16,33,39,52,1
549,11,15,25,32,39,23
550,4,35,41,44,58,25
551,25,28,36,38,68,23
552,24,29,44,47,54,2
553,7,8,25,39,68,7
554,7,16,41,56,61,23
555,3,25,52,60,64,17
556,7,33,40,43,69,10
557,39,55,60,65,69,26
558,6,7,12,24,36,15
559,8,21,24,57,64,2
560,6,21,23,39,54,23
561,7,40,45,58,61,14
562,22,27,44,52,69,9
563,16,19,56,59,66,14
564,11,38,41,62,65,15
565,10,44,53,60,63,13
566,19,24,40,42,56,23
567,12,15,28,30,39,12
568,12,13,33,50,52,23
569,20,29,43,57,63,16
570,37,46,57,60,66,8
571,31,47,52,53,57,23
572,7,11,19,53,68,23
573,2,14,20,28,64,4
574,6,23,25,34,51,3
575,18,24,43,46,47,11
576,13,22,27,54,66,9
577,7,9,10,26,43,24
578,10,17,20,39,44,16
579,11,44,55,63,68,17
580,12,23,44,57,61,5
581,9,11,13,29,69,12
582,21,29,54,59,62,4
583,2,25,64,65,67,5
584,1,3,7,16,66,5
585,15,25,35,41,62,12
586,30,36,49,52,63,16
587,41,43,49,55,67,20
588,6,19,28,44,60,10
589,30,31,36,52,58,16
590,36,42,50,52,67,26
591,3,19,29,53,59,4
592,3,18,27,36,53,12
593,18,31,36,43,61,10
594,16,26,29,38,50,6
595,14,38,41,47,67,7
596,24,29,42,51,54,16
597,1,3,8,30,41,8
598,3,8,40,53,58,3
599,5,6,16,34,35,17
600,4,27,33,41,42,14
601,23,49,51,54,58,11
602,4,23,45,50,53,17
603,9,18,30,47,63,14
604,6,28,59,62,69,21
605,14,47,49,61,66,18
606,1,4,45,47,67,18
607,33,40,45,48,53,17
608,17,36,43,53,67,14
609,29,49,51,61,66,2
610,27,28,34,37,44,8
611,12,15,32,50,64,15
612,12,21,62,67,69,17
613,8,17,36,56,62,23
614,1,2,27,30,67,9
615,1,7,35,52,54,20
616,9,11,27,59,66,19
617,23,26,30,35,39,13
618,15,18,19,41,43,14
619,13,15,18,21,58,25
620,39,41,43,49,64,4
621,31,44,45,63,64,16
622,7,38,65,66,68,21
623,4,28,34,50,61,16
624,1,5,32,50,64,8
625,7,28,46,47,58,18
626,24,25,43,52,63,21
627,17,31,34,54,63,13
628,16,31,34,47,65,10
629,13,26,30,40,50,13
630,18,22,43,61,65,2
631,14,38,51,53,55,25
632,13,30,35,49,59,4
633,6,16,23,60,62,17
634,13,31,33,51,58,15
635,30,41,44,55,58,17
636,25,40,43,48,50,11
637,2,7,27,34,51,19
638,7,17,28,40,45,2
639,3,38,55,57,62,17
640,4,31,34,38,61,13
641,9,14,26,27,32,22
642,30,31,38,48,68,8
643,8,9,17,31,56,23
644,12,21,42,44,49,1
645,19,31,40,42,64,2
646,10,11,26,27,34,7
647,1,4,5,6,42,8
648,4,11,38,51,68,5
649,14,29,39,66,67,2
650,5,12,20,24,29,4
651,2,3,19,31,42,9
652,9,14,17,18,53,6
653,20,37,39,40,43,1
654,27,35,41,56,60,16
655,22,25,28,30,53,3
656,5,8,19,34,39,26
657,2,8,11,25,51,9
658,3,9,10,20,62,25
659,9,39,41,46,65,3
660,3,8,41,56,64,18
661,32,53,57,60,63,14
662,1,24,27,31,62,20
663,10,12,27,40,65,4
664,5,25,26,40,60,1
665,8,14,23,29,37,18
666,2,12,37,56,65,21
667,3,23,27,67,68,9
668,18,19,27,28,45,9
669,21,51,52,59,63,7
670,28,35,41,47,60,3
671,6,32,37,42,67,25
672,6,47,50,61,68,4
673,9,13,16,30,36,23
674,2,21,38,61,66,12
675,9,29,51,53,61,20
676,27,33,63,66,68,9
677,1,27,30,49,62,20
678,20,24,33,39,42,21
679,20,21,30,55,56,14
680,19,26,30,39,63,13
681,15,21,39,45,52,12
682,34,50,51,61,67,20
683,27,32,40,45,47,8
684,3,4,51,53,60,6
685,14,15,30,58,59,17
686,24,33,35,37,42,21
687,13,14,20,67,69,14
688,1,12,14,24,57,7
689,5,17,19,41,49,5
690,14,21,33,39,62,20
691,5,20,22,27,63,18
692,12,25,40,59,61,26
693,22,23,25,41,56,24
694,1,28,30,34,52,6
695,5,15,22,47,66,26
696,22,26,39,47,63,12
697,9,26,49,58,61,21
698,19,22,34,66,69,5
699,1,4,8,11,66,10
700,14,24,50,59,64,2
701,34,48,50,52,66,11
702,25,27,41,53,68,2
703,18,19,38,54,55,17
704,18,21,25,46,64,21
705,25,44,45,50,58,13
706,6,15,24,67,68,11
707,7,18,27,33,61,5
708,1,4,13,35,58,24
709,26,59,62,64,65,15
710,2,27,31,44,64,18
711,1,2,15,17,34,1
712,14,16,42,48,64,14
713,13,21,33,46,50,23
714,22,24,40,52,64,10
715,3,40,51,59,66,2
716,16,34,46,55,67,14
717,1,20,33,49,59,10
718,47,54,57,60,65,19
719,13,31,51,55,66,23
720,9,35,54,63,64,1
721,12,30,39,64,67,22
722,12,26,27,43,47,5
723,11,26,35,40,43,24
724,19,30,37,44,46,22
725,2,22,46,56,67,25
726,1,7,46,47,63,7
727,10,25,51,52,63,1
728,10,12,22,36,50,4
729,5,16,18,38,40,19
730,1,12,20,33,66,21
731,14,16,26,41,57,24
732,16,27,59,62,63,23
733,6,20,29,46,68,8
734,2,21,26,40,42,9
735,3,7,41,48,67,14
736,8,11,19,24,46,5
737,10,27,30,43,47,6
738,22,30,37,44,45,18
739,3,12,28,58,62,24
740,9,25,27,53,66,5
741,18,22,25,30,35,22
742,11,19,29,63,68,25
743,33,38,42,64,65,20
744,9,14,20,23,63,1
745,1,12,30,50,55,10
746,1,26,32,46,51,13
747,1,29,45,47,51,7
748,25,38,42,66,67,19
749,3,7,14,26,52,21
750,4,13,35,61,69,4
751,2,10,45,46,59,2
752,4,6,25,55,68,26
753,23,24,48,61,64,4
754,20,22,26,28,63,5
755,1,19,54,63,64,15
756,25,30,32,33,55,20
757,18,25,38,56,61,19
758,3,4,12,22,28,16
759,1,13,19,49,66,7
760,1,25,27,38,62,13
761,19,26,39,65,68,12
762,9,11,17,19,55,1
763,15,22,44,49,63,26
764,32,34,37,39,47,3
765,2,23,42,61,68,26
766,19,21,37,50,65,26
767,10,26,27,48,52,12
768,10,15,21,67,69,3
769,1,42,51,61,63,17
770,6,13,20,35,54,22
771,26,29,37,49,63,22
772,18,42,44,62,65,23
773,14,25,37,57,67,16
774,23,24,33,51,64,5
775,5,23,30,62,63,9
776,2,11,48,58,65,13
777,15,32,33,34,35,4
778,10,25,27,34,38,2
779,10,23,27,62,65,15
780,3,16,40,48,60,14
781,31,43,51,60,69,13
782,3,4,12,28,49,25
783,3,6,32,58,68,25
784,25,27,36,37,63,7
785,31,37,39,54,65,14
786,7,10,11,13,24,24
787,13,15,28,43,57,25
788,5,8,9,17,41,21
789,9,37,38,62,69,23
790,2,9,43,55,57,18
791,12,21,23,37,52,19
792,23,35,45,66,67,20
793,42,49,54,62,63,21
794,2,24,34,53,58,13
795,21,30,37,41,56,14
796,7,23,24,32,43,18
797,12,23,30,42,62,21
798,17,24,48,62,68,23
799,10,19,47,50,53,26
800,15,26,31,38,61,3
801,15,37,50,55,69,9
802,4,17,35,49,61,8
803,13,24,49,54,60,17
804,19,25,34,57,68,4
805,27,33,48,64,69,23
806,6,28,39,43,54,12
807,14,20,23,31,54,19
808,2,38,44,50,62,19
809,12,17,50,53,64,20
810,5,11,33,35,63,14
811,15,18,23,45,48,10
812,36,39,52,57,69,1
813,14,15,39,57,69,7
814,2,12,45,61,64,26
815,8,12,21,33,51,14
816,3,20,36,42,64,4
817,6,10,14,16,50,1
818,2,3,16,23,68,7
819,9,15,22,54,64,19
820,21,32,42,46,50,4
821,30,45,55,67,69,23
822,16,21,29,53,66,2
823,29,44,55,62,66,7
824,2,31,45,46,49,20
825,3,11,14,37,44,2
826,15,45,64,67,68,18
827,8,26,34,58,69,7
828,2,4,54,61,62,14
829,15,36,61,66,68,23
830,21,33,35,62,64,24
831,5,12,17,46,65,16
832,24,38,39,48,56,4
833,21,28,31,48,49,18
834,12,21,44,50,58,26
835,7,25,29,40,45,12
836,9,38,48,52,68,25
837,14,17,38,39,40,14
838,17,23,32,38,63,23
839,19,32,54,55,68,24
840,18,34,37,45,51,14
841,21,26,37,52,53,26
842,1,26,28,55,58,25
843,13,36,55,56,68,23
844,3,15,20,23,46,11
845,23,32,52,58,60,3
846,21,24,33,55,69,3
847,21,22,24,52,58,3
848,15,20,33,36,43,12
849,4,31,50,53,63,24
850,31,39,47,51,53,6
851,1,9,20,21,55,11
852,21,26,30,45,47,23
853,11,35,57,60,64,22
854,3,38,55,61,66,1
855,14,20,29,33,57,2
856,16,53,54,57,65,8
857,3,13,36,50,61,16
858,2,15,30,35,49,6
859,18,26,31,49,51,18
860,19,21,55,66,68,3
861,9,18,24,30,58,15
862,17,36,47,63,68,25
863,9,10,50,62,63,14
864,4,11,21,38,64,11
865,9,17,22,24,31,5
866,23,25,35,63,64,25
867,5,34,35,58,67,21
868,1,33,34,56,59,18
869,4,6,15,19,28,15
870,9,36,41,44,59,4
871,16,19,32,33,41,19
872,9,10,36,46,52,14
873,6,14,20,24,63,2
874,11,22,24,51,60,18
875,15,26,44,49,51,22
876,3,5,9,42,52,11
877,12,30,46,52,59,1
878,16,30,31,54,68,1
879,5,10,16,30,40,20
880,11,19,21,29,52,17
881,3,14,34,56,57,2
882,4,9,24,46,66,7
883,1,20,39,47,49,23
884,19,26,36,43,58,14
885,7,11,46,49,60,1
886,15,17,18,47,57,19
887,18,30,35,42,52,1
888,27,28,37,50,57,5
889,3,32,58,59,61,15
890,1,27,32,47,67,14
891,2,18,31,59,60,19
892,14,20,30,54,69,11
893,21,30,34,57,59,8
894,16,18,33,37,50,8
895,7,9,46,64,68,3
896,3,10,24,46,63,4
897,5,25,32,38,62,6
898,11,20,33,43,58,24
899,7,16,22,36,58,5
900,26,27,43,61,69,4
901,13,20,29,41,45,19
902,2,13,29,58,69,4
903,10,19,26,47,55,21
904,10,16,18,40,66,16
905,17,18,24,36,56,25
906,2,9,28,36,53,4
907,7,12,16,17,39,22
908,16,28,49,51,55,23
909,8,27,33,34,44,5
910,11,24,58,66,67,26
911,4,6,39,60,66,2
912,11,19,39,44,65,7
913,2,38,53,62,63,2
914,3,17,26,38,54,15
915,2,13,26,51,55,23
916,8,21,31,32,37,23
917,4,36,39,44,46,20
918,31,32,54,60,63,12
919,25,30,44,52,66,22
920,17,26,37,61,65,2
921,12,17,26,61,69,22
922,10,23,30,54,65,11
923,45,48,54,60,63,2
924,52,58,59,64,66,9
925,40,41,57,64,65,21
926,5,11,22,23,69,7
927,14,19,58,59,68,16
928,2,8,15,19,58,10
929,6,38,57,58,63,8
930,31,43,58,59,66,9
931,4,23,39,57,63,26
932,1,4,12,36,49,5
933,3,25,28,42,61,17
934,2,18,23,27,47,15
935,47,51,53,62,63,16
936,9,17,20,38,40,18
937,15,32,35,42,47,23
938,12,31,47,58,60,23
939,6,15,31,45,58,5
940,5,14,19,46,64,22
941,1,8,32,37,64,16
942,6,15,22,42,47,26
943,4,11,14,54,69,16
944,4,14,33,39,61,3
945,37,40,46,54,59,15
946,24,26,39,47,57,23
947,17,19,31,33,64,13
948,4,8,46,47,48,5
949,1,3,11,44,62,6
950,18,43,48,60,69,14
951,19,41,47,53,54,25
952,35,36,44,45,67,14
953,10,17,23,29,49,20
954,12,32,56,67,68,26
955,22,25,32,41,46,23
956,7,9,12,31,62,22
957,11,12,15,33,39,24
958,18,37,44,50,64,11
959,1,25,29,54,56,9
960,26,32,38,45,56,1
961,4,10,14,41,56,16
962,17,41,47,60,61,17
963,1,30,52,54,63,26
964,17,37,46,54,67,8
965,5,32,34,38,48,12
966,12,15,24,34,59,14
967,10,16,25,39,52,23
968,7,37,55,65,67,12
969,18,32,40,65,67,6
970,33,56,64,66,68,12
971,6,9,10,19,28,23
972,36,51,59,66,68,25
973,3,12,24,40,57,19
974,16,31,50,55,61,9
975,28,39,43,63,67,26
976,9,23,47,49,68,19
977,1,34,37,40,53,2
978,6,28,44,59,61,21
979,16,25,26,37,48,16
980,35,45,47,54,55,14
981,15,50,51,53,68,21
982,6,13,33,36,37,7
983,4,10,23,43,64,3
984,4,19,24,47,66,10
985,16,34,41,47,55,23
986,29,30,32,48,50,20
987,1,5,19,47,55,3
988,15,30,47,50,51,3
989,1,35,39,41,54,17
990,1,2,31,39,66,25
991,17,20,54,60,69,22
992,1,6,40,51,67,2
993,8,23,41,49,63,15
994,7,28,62,63,64,10
995,19,35,40,62,68,23
